Date,EntryTime,ExitTime,Side,Entry,Result
27/4/2026,27/4/2026, 04:00:00,27/4/2026, 06:00:00,buy,78313.52,TP
27/4/2026,27/4/2026, 15:30:00,27/4/2026, 20:30:00,sell,77809.43,TP
27/4/2026,27/4/2026, 16:00:00,27/4/2026, 20:30:00,sell,77850.01,TP
27/4/2026,27/4/2026, 16:30:00,27/4/2026, 20:30:00,sell,77860,TP
27/4/2026,27/4/2026, 17:00:00,27/4/2026, 20:00:00,sell,77844.26,SL
27/4/2026,27/4/2026, 17:30:00,27/4/2026, 20:00:00,sell,77743.36,SL
27/4/2026,27/4/2026, 19:00:00,27/4/2026, 20:00:00,sell,77746.74,SL
27/4/2026,27/4/2026, 20:30:00,28/4/2026, 05:00:00,sell,76855.08,SL
28/4/2026,28/4/2026, 03:00:00,28/4/2026, 04:30:00,sell,76786.81,SL
28/4/2026,28/4/2026, 22:30:00,29/4/2026, 06:00:00,sell,76096.13,SL
29/4/2026,29/4/2026, 12:00:00,29/4/2026, 15:30:00,buy,77031.06,TP
29/4/2026,29/4/2026, 13:30:00,29/4/2026, 19:00:00,buy,77106.01,SL
29/4/2026,29/4/2026, 14:00:00,29/4/2026, 15:30:00,buy,77046.32,TP
29/4/2026,29/4/2026, 14:30:00,29/4/2026, 19:00:00,buy,77127.74,SL
29/4/2026,29/4/2026, 23:30:00,30/4/2026, 01:30:00,sell,75150.37,SL
30/4/2026,30/4/2026, 02:00:00,30/4/2026, 06:00:00,sell,75676.79,SL
30/4/2026,30/4/2026, 04:30:00,30/4/2026, 06:00:00,sell,75771.21,SL
30/4/2026,30/4/2026, 05:00:00,30/4/2026, 06:00:00,sell,75780,SL
